"","Protein","Label","log2FC","SE","Tvalue","DF","pvalue","adj.pvalue","issue","MissingPercentage","ImputationPercentage"
"1","A0A0B4J2A2; F5H284; Q9Y536; P0DN26; P62937; A0A075B767; P0DN37","15cm vs 50cm",-1.59317462329698,0.565853512553869,-2.81552484512554,0,NA,NA,NA,0.4,0
"2","A0A0B4J2D5; P0DPI2","15cm vs 50cm",-0.447487700858773,0.172139755887491,-2.59956044756592,1,0.233786188095833,0.393058693062178,NA,0.4,0.2
"3","A0A0G2JNQ3; A0A0G2JPF8; O60812; P07910; B7ZW38; B2RXH8","15cm vs 50cm",-0.360526714597833,0.0864284942471859,-4.17138719976683,2,0.0529468228963212,0.220705415123511,NA,0.2,0.2
"4","A0A0U1RRL7","15cm vs 50cm",-0.0546249137829212,0.456120818436019,-0.119759746924561,1,0.924119967232397,0.955133517153122,NA,0.2,0
"5","A0A1B0GUS4; P68036","15cm vs 50cm",Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"6","A0A2R8Y422; P62979","15cm vs 50cm",-0.000909945469862165,0.127002591512858,-0.00716477875784165,2,0.994933801371341,0.997523174542625,NA,0.24,0.24
"7","A0A2R8Y422; P62987; P62979; P0CG47; P0CG48","15cm vs 50cm",-0.417175761504314,0.0990187848930862,-4.2130971608544,2,0.0519835763299086,0.220615587441083,NA,0,0
"8","A0A2R8Y4L2; P09651","15cm vs 50cm",0.0246844277271753,0.235546794295968,0.104796279656258,2,0.926100458241582,0.956313069475562,NA,0.1,0.1
"9","A0AV96","15cm vs 50cm",0.372265248979224,0.029441918511477,12.6440554080777,2,0.00619691631941865,0.148520347502955,NA,0,0
"10","A0AV96; Q8TBY0; Q9NQ94","15cm vs 50cm",-0.785912175852088,0.00189593393611794,-414.525084909498,0,NA,NA,NA,0.4,0
"11","A0AVT1","15cm vs 50cm",Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"12","A0MZ66","15cm vs 50cm",-0.352396273492965,0.346487780317875,-1.0170525297304,2,0.416141957839179,0.555519186244125,NA,0.2,0.2
"13","A1L0T0","15cm vs 50cm",0.410975152327649,0.562990537590016,0.729985896542601,2,0.541322736478798,0.648960818745492,NA,0,0
"14","A3KMH1","15cm vs 50cm",Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"15","A5A3E0; P63267; P0CG39; P60709; Q6S8J3; P62736; P68133; P0CG38; P68032; P63261","15cm vs 50cm",-2.16855904857728,0.64751669210226,-3.34903960782343,2,0.0787676514658666,0.242255705385574,NA,0.2,0.2
"16","A5A3E0; P63267; P60709; Q6S8J3; P62736; P68133; P0CG38; P68032; P63261","15cm vs 50cm",-2.32118228152597,0.105727164401399,-21.9544550794296,2,0.00206826267779148,0.115715792372169,NA,0,0
"17","A5A3E0; P63267; Q9BYX7; P60709; Q6S8J3; P62736; P68133; Q562R1; P68032; P63261","15cm vs 50cm",7.83159074313531,0.0985487323244458,79.4692185116279,1,0.00801047482034889,0.155125478432034,NA,0.3,0.1
"18","A5A3E0; Q9BYX7; P0CG39; P60709; Q6S8J3; P0CG38; P63261","15cm vs 50cm",0.11443616832787,0.154712281833335,0.739670871451225,2,0.536537702404417,0.646866552785655,NA,0,0
"19","A5A3E0; Q9BYX7; P0CG39; P60709; Q6S8J3; P68133; P0CG38; P68032; P63261","15cm vs 50cm",-3.91892882015789,0.0980676634551735,-39.9614784535906,2,0.000625617952668911,0.104755783092445,NA,0.133333333333333,0.133333333333333
"20","A5YM69","15cm vs 50cm",Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"21","A6NDG6","15cm vs 50cm",0.597151421868431,0.216582838354603,2.75715022669865,2,0.11022058896974,0.27392881380811,NA,0.4,0.4
"22","A6NDY0; Q86U42","15cm vs 50cm",-0.294405547679671,0.137937580499542,-2.1343389278939,2,0.166388496646376,0.331178501185233,NA,0,0
"23","A6NEC2; P55786","15cm vs 50cm",-0.174579106695261,0.233105643824398,-0.748926983624532,2,0.532002128031154,0.645247288198644,NA,0.32,0.32
"24","A6NHL2; Q71U36; P68363; Q9BQE3; P68366","15cm vs 50cm",-0.078501360736267,0.372920313881467,-0.210504383414251,2,0.852772972216669,0.904508507820049,NA,0,0
"25","A6NHQ2; P22087","15cm vs 50cm",0.368809064903536,0.237356151964172,1.55382138550681,2,0.260450621702446,0.416369902349242,NA,0,0
"26","A6NMY6; P07355","15cm vs 50cm",1.6683101505316,0.289029409310271,5.77211209929396,2,0.0287273841394728,0.188673511394405,NA,0.219354838709677,0.219354838709677
"27","A7E2Y1; P13535; P35580; Q9UKX3; P11055; P35749; P12882; P12883; P35579; Q9UKX2; Q7Z406; Q9Y623; P13533","15cm vs 50cm",-0.560563170447261,0.164750332652306,-3.40250099300431,0,NA,NA,NA,0.4,0
"28","A8K7I4; Q14CN2","15cm vs 50cm",-1.11060197168667,0.0643253437423855,-17.2653872808591,1,0.0368314543080066,0.203079209212136,NA,0.2,0
"29","A8MUU1; Q01469","15cm vs 50cm",-0.0823174608104802,0.0882713635293398,-0.932550008510058,1,0.522210330870497,0.638474969985978,NA,0.4,0.2
"30","A8MZ36; Q92817","15cm vs 50cm",-0.138047586414659,0.132834336880916,-1.03924624954778,2,0.407837641500854,0.548678857721633,NA,0,0
"31","B5ME19; Q99613","15cm vs 50cm",-0.570277618013778,0.160790388237815,-3.54671460317837,2,0.0711199670760201,0.237541090000733,NA,0.183333333333333,0.183333333333333
"32","E9PAV3","15cm vs 50cm",0.0177988120841969,0.214276413460533,0.083064728388667,2,0.941365421168847,0.967313932792786,NA,0.0666666666666667,0.0666666666666667
"33","E9PAV3; Q9BZK3","15cm vs 50cm",Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"34","E9PRG8","15cm vs 50cm",Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"35","O00116","15cm vs 50cm",0.104845592701365,0.264297518909301,0.396695334613961,2,0.729918362354238,0.807124671424215,NA,0.266666666666667,0.266666666666667
"36","O00148","15cm vs 50cm",Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
